Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Cell_Ed_mean_value,Cell_Ed_variance,Cell_Ed_not_zero_mean_value,Cell_Ed_not_zero_variance,Cell_Ed_agg_mean_value,Cell_Ed_agg_variance,Cell_Ed_agg_max_value,Cell_Ed_agg_min_value,Cell_Ed_agg_top_50_value,Cell_Ed_agg_top_25_value,Nuclei_Ed_mean_value,Nuclei_Ed_variance,Nuclei_Ed_not_zero_mean_value,Nuclei_Ed_not_zero_variance,Nuclei_Ed_agg_mean_value,Nuclei_Ed_agg_variance,Nuclei_Ed_agg_max_value,Nuclei_Ed_agg_min_value,Nuclei_Ed_agg_top_50_value,Nuclei_Ed_agg_top_25_value,Mit_Ed_mean_value,Mit_Ed_variance,Mit_Ed_not_zero_mean_value,Mit_Ed_not_zero_variance,Mit_Ed_agg_mean_value,Mit_Ed_agg_variance,Mit_Ed_agg_max_value,Mit_Ed_agg_min_value,Mit_Ed_agg_top_50_value,Mit_Ed_agg_top_25_value
H1975,2.0,Afa,0,6,22.0,1,0.12475753575563431,0.005577652249485254,0.13557271659374237,0.004594933241605759,,,,,,,0.1576065719127655,0.004703192040324211,0.15797768533229828,0.004655638709664345,,,,,,,0.1576065719127655,0.004703192040324211,0.15797768533229828,0.004655638709664345,,,,,,
H1975,2.0,Afa,0,6,22.0,2,0.09959258139133453,0.0048917196691036224,0.11155765503644943,0.004144615959376097,,,,,,,0.10629204660654068,0.0054162065498530865,0.11795681715011597,0.004634655546396971,0.0978909283876419,0.0028542515356093645,0.19829939305782318,0.0,0.14208659529685974,0.16666562855243683,0.10811073333024979,0.005312259774655104,0.11795681715011597,0.004634655546396971,0.0978909283876419,0.0028542515356093645,0.19829939305782318,0.0,0.14208659529685974,0.16666562855243683
H1975,2.0,Afa,0,6,22.0,3,0.08703529089689255,0.0026212434750050306,0.08819998800754547,0.0025535947643220425,,,,,,,0.11334829777479172,0.0027998529840260744,0.11537675559520721,0.002615921897813678,0.06952714174985886,0.00044907594565302134,0.12819409370422363,0.025895940139889717,0.08639185130596161,0.09688789397478104,0.1152181476354599,0.0026306004729121923,0.11537675559520721,0.002615921897813678,0.06994108110666275,0.00043941522017121315,0.12819409370422363,0.025895940139889717,0.08669253438711166,0.09670792520046234
H1975,2.0,Afa,1,6,22.0,1,0.12697507441043854,0.0065696570090949535,0.13566312193870544,0.005840528756380081,0.052049312740564346,0.001023024320602417,0.14106790721416473,0.0,0.07815495878458023,0.09449923783540726,0.15639911592006683,0.00745679484680295,0.16328836977481842,0.0066603245213627815,0.05166760832071304,0.0006825452437624335,0.1058797836303711,0.005550846923142672,0.07249521464109421,0.08796429634094238,0.15683750808238983,0.007408939301967621,0.16328836977481842,0.0066603245213627815,0.05166760832071304,0.0006825452437624335,0.1058797836303711,0.005550846923142672,0.07249521464109421,0.08796429634094238
H1975,2.0,Afa,1,6,22.0,2,0.09941466897726059,0.0040752398781478405,0.10436761379241943,0.0037613457534462214,,,,,,,0.12068645656108856,0.004017488099634647,0.12200253456830978,0.003900734940543771,,,,,,,0.12068645656108856,0.004017488099634647,0.12200253456830978,0.003900734940543771,,,,,,
H1975,2.0,Afa,10,6,22.0,1,0.09359655529260635,0.005601811688393354,0.10777553170919418,0.0049222842790186405,0.06256508827209473,0.0011871084570884705,0.14470010995864868,0.0,0.09062159061431885,0.10642003268003464,0.12145713716745377,0.007531608454883099,0.13920176029205322,0.006161877419799566,0.06627301126718521,0.0012660869397222996,0.17240817844867706,0.0,0.09521632641553879,0.11212746053934097,0.12287899106740952,0.0074450611136853695,0.13920176029205322,0.006161877419799566,0.06627301126718521,0.0012660869397222996,0.17240817844867706,0.0,0.09521632641553879,0.11212746053934097
H1975,2.0,Afa,10,6,22.0,2,0.06292945891618729,0.005416996777057648,0.11493890732526779,0.0039160833694040775,0.10573454946279526,0.002283926121890545,0.2709982097148895,0.0,0.14344890415668488,0.16742703318595886,0.06215788424015045,0.005322066135704517,0.11289657652378082,0.003938176669180393,0.08976719528436661,0.0018836717354133725,0.22447536885738373,0.0,0.1245165765285492,0.1461089551448822,0.06215788424015045,0.005322066135704517,0.11289657652378082,0.003938176669180393,0.08976719528436661,0.0018836717354133725,0.22447536885738373,0.0,0.1245165765285492,0.1461089551448822
H1975,2.0,Afa,10,6,22.0,3,0.19109280407428741,0.0060548437759280205,0.19120784103870392,0.006036491598933935,0.07324724644422531,0.000561092107091099,0.14063458144664764,0.019006352871656418,0.09228869527578354,0.10441822558641434,0.23447106778621674,0.005211955867707729,0.23447106778621674,0.005211955867707729,,,,,,,0.23447106778621674,0.005211955867707729,0.23447106778621674,0.005211955867707729,,,,,,
H1975,2.0,Afa,10,6,22.0,4,0.13720567524433136,0.00698614027351141,0.1508564054965973,0.005621901247650385,0.11652818322181702,0.0024674623273313046,0.2717757225036621,0.0,0.1565045416355133,0.1795484721660614,0.14984765648841858,0.004902807530015707,0.15149284899234772,0.004707400221377611,,,,,,,0.14984765648841858,0.004902807530015707,0.15149284899234772,0.004707400221377611,,,,,,
H1975,2.0,Afa,10,6,22.0,5,0.19782514870166779,0.015053519047796726,0.21706153452396393,0.012341834604740143,0.11345011740922928,0.002597419312223792,0.2704741060733795,0.0,0.1538802832365036,0.17889904975891113,0.25617653131484985,0.01607021503150463,0.2788855731487274,0.01116154994815588,0.16938327252864838,0.002705684397369623,0.29769182205200195,0.02683807536959648,0.21172314882278442,0.23420438170433044,0.25617653131484985,0.01607021503150463,0.2788855731487274,0.01116154994815588,0.16938327252864838,0.002705684397369623,0.29769182205200195,0.02683807536959648,0.21172314882278442,0.23420438170433044
H1975,2.0,Afa,11,6,22.0,1,0.14446942508220673,0.006923360284417868,0.15039567649364471,0.006316079758107662,0.09939157217741013,0.001368656405247748,0.19896943867206573,0.01342367846518755,0.12943460047245026,0.14583909511566162,0.17257966101169586,0.007669917307794094,0.1792394071817398,0.006772208493202925,,,,,,,0.17257966101169586,0.007669917307794094,0.1792394071817398,0.006772208493202925,,,,,,
H1975,2.0,Afa,12,6,22.0,1,0.07501707226037979,0.005814075469970703,0.12119761854410172,0.0037962528876960278,0.08232170343399048,0.0004996391944587231,0.14427244663238525,0.02055179513990879,0.10032950341701508,0.1115797907114029,0.0681726261973381,0.005788068752735853,0.11547000706195831,0.004342334344983101,,,,,,,0.0681726261973381,0.005788068752735853,0.11547000706195831,0.004342334344983101,,,,,,
H1975,2.0,Afa,12,6,22.0,2,0.12191659957170486,0.006728349253535271,0.13562840223312378,0.005625368561595678,0.09442761540412903,0.0014586785109713674,0.21109378337860107,0.0,0.12507739663124084,0.14311276376247406,0.14961929619312286,0.008317805826663971,0.16279739141464233,0.006905058398842812,,,,,,,0.15038460493087769,0.008245261386036873,0.16279739141464233,0.006905058398842812,,,,,,
H1975,2.0,Afa,12,6,22.0,3,0.228202223777771,0.016202613711357117,0.26534631848335266,0.008983836509287357,0.1515664905309677,0.003200927283614874,0.30764129757881165,0.0,0.1980338841676712,0.22293953597545624,0.2638765871524811,0.01881449855864048,0.30760976672172546,0.00847992766648531,,,,,,,0.2727777659893036,0.017021114006638527,0.30760976672172546,0.00847992766648531,,,,,,
H1975,2.0,Afa,12,6,22.0,4,0.09572591632604599,0.0018246753606945276,0.09776851534843445,0.0016639090608805418,0.0653855949640274,0.00041592001798562706,0.12356572598218918,0.00030965724727138877,0.0816999226808548,0.09145660698413849,0.11082014441490173,0.0015558790182694793,0.11094333976507187,0.001543941325508058,0.0766715481877327,0.000635921023786068,0.14060208201408386,0.01574203185737133,0.09667592495679855,0.1089852899312973,0.11082014441490173,0.0015558790182694793,0.11094333976507187,0.001543941325508058,0.0766715481877327,0.000635921023786068,0.14060208201408386,0.01574203185737133,0.09667592495679855,0.1089852899312973
H1975,2.0,Afa,13,6,22.0,1,0.031041419133543968,0.0015177670866250992,0.05539422482252121,0.0013594903284683824,,,,,,,0.03278006613254547,0.0016647025477141142,0.058217138051986694,0.001475625205785036,,,,,,,0.03495486080646515,0.001699127722531557,0.058217138051986694,0.001475625205785036,,,,,,
H1975,2.0,Afa,14,6,22.0,1,0.10999814420938492,0.007264475338160992,0.13121598958969116,0.005881618242710829,0.0907837450504303,0.002618545899167657,0.22031186521053314,0.0,0.1333313286304474,0.15690886974334717,0.13665422797203064,0.007869124412536621,0.15155093371868134,0.006469329819083214,0.08949749171733856,0.002518570749089122,0.2901470363140106,0.0,0.12988239526748657,0.15604917705059052,0.13665422797203064,0.007869124412536621,0.15155093371868134,0.006469329819083214,0.08949749171733856,0.002518570749089122,0.2901470363140106,0.0,0.12988239526748657,0.15604917705059052
